model,dataset,feature,layer,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-1b,natural_lang_id.pyth.512.-1,pt,13,1013,1.0,1.0,1.0,1.0,18.429789
pythia-1b,natural_lang_id.pyth.512.-1,pt,14,4058,1.0,1.0,1.0,1.0,9.444071
pythia-1b,natural_lang_id.pyth.512.-1,pt,14,5100,1.0,1.0,1.0,1.0,15.977785
pythia-1b,natural_lang_id.pyth.512.-1,pt,15,4641,1.0,1.0,1.0,1.0,19.339376
pythia-1b,natural_lang_id.pyth.512.-1,pt,15,4851,1.0,1.0,1.0,1.0,18.518963
pythia-1b,natural_lang_id.pyth.512.-1,pt,15,4912,1.0,1.0,1.0,1.0,12.789509
pythia-1b,natural_lang_id.pyth.512.-1,sv,0,3675,1.0,1.0,1.0,1.0,43.989914
pythia-1b,natural_lang_id.pyth.512.-1,sv,0,6507,1.0,1.0,1.0,1.0,34.565895
pythia-1b,natural_lang_id.pyth.512.-1,sv,1,331,1.0,1.0,1.0,1.0,38.510757
pythia-1b,natural_lang_id.pyth.512.-1,sv,1,550,1.0,1.0,1.0,1.0,41.789204
pythia-1b,natural_lang_id.pyth.512.-1,sv,1,750,1.0,1.0,1.0,1.0,34.520443
pythia-1b,natural_lang_id.pyth.512.-1,it,13,7338,1.0,1.0,1.0,1.0,26.67714
pythia-1b,natural_lang_id.pyth.512.-1,it,13,7335,1.0,1.0,1.0,1.0,17.181618
pythia-1b,natural_lang_id.pyth.512.-1,it,13,6569,1.0,1.0,1.0,1.0,33.079002
pythia-1b,natural_lang_id.pyth.512.-1,de,1,6124,1.0,1.0,1.0,1.0,31.257162
pythia-1b,natural_lang_id.pyth.512.-1,de,0,1284,1.0,1.0,1.0,1.0,47.394478
pythia-1b,natural_lang_id.pyth.512.-1,de,0,6636,1.0,1.0,1.0,1.0,39.269573
pythia-1b,natural_lang_id.pyth.512.-1,de,1,4024,1.0,1.0,1.0,1.0,39.253357
pythia-1b,natural_lang_id.pyth.512.-1,de,1,5186,1.0,1.0,1.0,1.0,45.491257
pythia-1b,natural_lang_id.pyth.512.-1,de,2,726,1.0,1.0,1.0,1.0,48.083584
pythia-1b,natural_lang_id.pyth.512.-1,de,10,2018,1.0,1.0,1.0,1.0,27.178795
pythia-1b,natural_lang_id.pyth.512.-1,de,3,1653,1.0,1.0,1.0,1.0,33.40722
pythia-1b,natural_lang_id.pyth.512.-1,de,3,1709,1.0,1.0,1.0,1.0,12.812389
pythia-1b,natural_lang_id.pyth.512.-1,de,6,3978,1.0,1.0,1.0,1.0,25.892273
pythia-1b,natural_lang_id.pyth.512.-1,de,6,4423,1.0,1.0,1.0,1.0,8.189639
pythia-1b,natural_lang_id.pyth.512.-1,de,6,4690,1.0,1.0,1.0,1.0,25.775915
pythia-1b,natural_lang_id.pyth.512.-1,de,8,4610,1.0,1.0,1.0,1.0,29.726944
pythia-1b,natural_lang_id.pyth.512.-1,de,8,7031,1.0,1.0,1.0,1.0,24.00991
pythia-1b,natural_lang_id.pyth.512.-1,de,9,2577,1.0,1.0,1.0,1.0,4.2324543
pythia-1b,natural_lang_id.pyth.512.-1,de,9,3764,1.0,1.0,1.0,1.0,28.917126
pythia-1b,natural_lang_id.pyth.512.-1,de,9,5537,1.0,1.0,1.0,1.0,21.286922
pythia-1b,natural_lang_id.pyth.512.-1,de,10,5281,1.0,1.0,1.0,1.0,13.013764
pythia-1b,natural_lang_id.pyth.512.-1,de,15,4587,1.0,1.0,1.0,1.0,17.10318
pythia-1b,natural_lang_id.pyth.512.-1,de,14,8057,1.0,1.0,1.0,1.0,17.854353
pythia-1b,natural_lang_id.pyth.512.-1,de,15,590,1.0,1.0,1.0,1.0,17.495916
pythia-1b,natural_lang_id.pyth.512.-1,de,15,660,1.0,1.0,1.0,1.0,18.472431
pythia-1b,natural_lang_id.pyth.512.-1,de,15,1681,1.0,1.0,1.0,1.0,14.752621
pythia-1b,natural_lang_id.pyth.512.-1,de,15,2029,1.0,1.0,1.0,1.0,16.544075
pythia-1b,natural_lang_id.pyth.512.-1,de,15,2265,1.0,1.0,1.0,1.0,16.92882
pythia-1b,natural_lang_id.pyth.512.-1,de,15,3064,1.0,1.0,1.0,1.0,25.54504
pythia-1b,natural_lang_id.pyth.512.-1,de,15,3679,1.0,1.0,1.0,1.0,20.914299
pythia-1b,natural_lang_id.pyth.512.-1,de,15,3828,1.0,1.0,1.0,1.0,24.69418
pythia-1b,natural_lang_id.pyth.512.-1,de,15,5027,1.0,1.0,1.0,1.0,24.038912
pythia-1b,natural_lang_id.pyth.512.-1,de,10,7611,1.0,1.0,1.0,1.0,22.413391
pythia-1b,natural_lang_id.pyth.512.-1,de,15,5030,1.0,1.0,1.0,1.0,22.388067
pythia-1b,natural_lang_id.pyth.512.-1,de,15,6063,1.0,1.0,1.0,1.0,16.913631
pythia-1b,natural_lang_id.pyth.512.-1,de,15,6301,1.0,1.0,1.0,1.0,15.376964
pythia-1b,natural_lang_id.pyth.512.-1,de,15,7291,1.0,1.0,1.0,1.0,18.307026
pythia-1b,natural_lang_id.pyth.512.-1,de,15,7835,1.0,1.0,1.0,1.0,16.197466
pythia-1b,natural_lang_id.pyth.512.-1,el,0,122,1.0,1.0,1.0,1.0,33.275196
pythia-1b,natural_lang_id.pyth.512.-1,el,0,211,1.0,1.0,1.0,1.0,34.28235
pythia-1b,natural_lang_id.pyth.512.-1,el,0,401,1.0,1.0,1.0,1.0,36.11782
pythia-1b,natural_lang_id.pyth.512.-1,el,0,785,1.0,1.0,1.0,1.0,35.40102
pythia-1b,natural_lang_id.pyth.512.-1,de,14,4810,1.0,1.0,1.0,1.0,26.153677
pythia-1b,natural_lang_id.pyth.512.-1,de,14,3334,1.0,1.0,1.0,1.0,30.90531
pythia-1b,natural_lang_id.pyth.512.-1,de,14,3321,1.0,1.0,1.0,1.0,19.910683
pythia-1b,natural_lang_id.pyth.512.-1,de,14,3087,1.0,1.0,1.0,1.0,16.191254
pythia-1b,natural_lang_id.pyth.512.-1,de,11,369,1.0,1.0,1.0,1.0,31.525377
pythia-1b,natural_lang_id.pyth.512.-1,de,11,939,1.0,1.0,1.0,1.0,9.988459
pythia-1b,natural_lang_id.pyth.512.-1,de,11,2675,1.0,1.0,1.0,1.0,24.56425
pythia-1b,natural_lang_id.pyth.512.-1,de,11,6985,1.0,1.0,1.0,1.0,31.61645
pythia-1b,natural_lang_id.pyth.512.-1,de,12,2238,1.0,1.0,1.0,1.0,18.902592
pythia-1b,natural_lang_id.pyth.512.-1,de,12,3492,1.0,1.0,1.0,1.0,29.658283
pythia-1b,natural_lang_id.pyth.512.-1,de,12,3510,1.0,1.0,1.0,1.0,23.365532
pythia-1b,natural_lang_id.pyth.512.-1,de,12,5272,1.0,1.0,1.0,1.0,3.1944528
pythia-1b,natural_lang_id.pyth.512.-1,de,12,7212,1.0,1.0,1.0,1.0,30.081419
pythia-1b,natural_lang_id.pyth.512.-1,de,13,626,1.0,1.0,1.0,1.0,24.061888
pythia-1b,natural_lang_id.pyth.512.-1,de,13,2034,1.0,1.0,1.0,1.0,24.190039
pythia-1b,natural_lang_id.pyth.512.-1,de,13,2671,1.0,1.0,1.0,1.0,23.553883
pythia-1b,natural_lang_id.pyth.512.-1,de,13,2989,1.0,1.0,1.0,1.0,29.090548
pythia-1b,natural_lang_id.pyth.512.-1,de,13,4022,1.0,1.0,1.0,1.0,28.855589
pythia-1b,natural_lang_id.pyth.512.-1,de,13,6496,1.0,1.0,1.0,1.0,24.636805
pythia-1b,natural_lang_id.pyth.512.-1,de,13,7041,1.0,1.0,1.0,1.0,28.516287
pythia-1b,natural_lang_id.pyth.512.-1,de,14,155,1.0,1.0,1.0,1.0,26.600615
pythia-1b,natural_lang_id.pyth.512.-1,de,14,489,1.0,1.0,1.0,1.0,20.206383
pythia-1b,natural_lang_id.pyth.512.-1,de,14,1666,1.0,1.0,1.0,1.0,13.6240225
pythia-1b,natural_lang_id.pyth.512.-1,el,0,1723,1.0,1.0,1.0,1.0,33.668034
pythia-1b,natural_lang_id.pyth.512.-1,el,0,941,1.0,1.0,1.0,1.0,35.773804
pythia-1b,natural_lang_id.pyth.512.-1,el,0,1895,1.0,1.0,1.0,1.0,27.681784
pythia-1b,natural_lang_id.pyth.512.-1,it,13,5520,1.0,1.0,1.0,1.0,18.542364
pythia-1b,natural_lang_id.pyth.512.-1,fr,14,4030,1.0,1.0,1.0,1.0,25.510899
pythia-1b,natural_lang_id.pyth.512.-1,fr,13,8061,1.0,1.0,1.0,1.0,24.624855
pythia-1b,natural_lang_id.pyth.512.-1,fr,14,617,1.0,1.0,1.0,1.0,18.006104
pythia-1b,natural_lang_id.pyth.512.-1,fr,14,2100,1.0,1.0,1.0,1.0,25.232481
pythia-1b,natural_lang_id.pyth.512.-1,fr,14,2141,1.0,1.0,1.0,1.0,29.200912
pythia-1b,natural_lang_id.pyth.512.-1,fr,14,2304,1.0,1.0,1.0,1.0,19.977663
pythia-1b,natural_lang_id.pyth.512.-1,fr,14,2305,1.0,1.0,1.0,1.0,21.268784
pythia-1b,natural_lang_id.pyth.512.-1,fr,14,2561,1.0,1.0,1.0,1.0,23.614555
pythia-1b,natural_lang_id.pyth.512.-1,fr,14,2729,1.0,1.0,1.0,1.0,24.63363
pythia-1b,natural_lang_id.pyth.512.-1,fr,14,3871,1.0,1.0,1.0,1.0,26.230833
pythia-1b,natural_lang_id.pyth.512.-1,fr,14,5212,1.0,1.0,1.0,1.0,25.11902
pythia-1b,natural_lang_id.pyth.512.-1,fr,15,3889,1.0,1.0,1.0,1.0,32.319355
pythia-1b,natural_lang_id.pyth.512.-1,fr,14,5819,1.0,1.0,1.0,1.0,27.410536
pythia-1b,natural_lang_id.pyth.512.-1,fr,14,7306,1.0,1.0,1.0,1.0,19.271324
pythia-1b,natural_lang_id.pyth.512.-1,fr,14,7769,1.0,1.0,1.0,1.0,18.358265
pythia-1b,natural_lang_id.pyth.512.-1,fr,14,7852,1.0,1.0,1.0,1.0,16.964071
pythia-1b,natural_lang_id.pyth.512.-1,fr,14,7904,1.0,1.0,1.0,1.0,19.944704
pythia-1b,natural_lang_id.pyth.512.-1,fr,15,305,1.0,1.0,1.0,1.0,28.362164
pythia-1b,natural_lang_id.pyth.512.-1,fr,15,824,1.0,1.0,1.0,1.0,19.108837
pythia-1b,natural_lang_id.pyth.512.-1,fr,15,1089,1.0,1.0,1.0,1.0,14.600764
pythia-1b,natural_lang_id.pyth.512.-1,fr,15,1217,1.0,1.0,1.0,1.0,20.03963
pythia-1b,natural_lang_id.pyth.512.-1,fr,13,7874,1.0,1.0,1.0,1.0,21.622864
pythia-1b,natural_lang_id.pyth.512.-1,fr,13,6006,1.0,1.0,1.0,1.0,31.27112
pythia-1b,natural_lang_id.pyth.512.-1,fr,13,5442,1.0,1.0,1.0,1.0,25.321667
pythia-1b,natural_lang_id.pyth.512.-1,fr,13,4259,1.0,1.0,1.0,1.0,20.045568
pythia-1b,natural_lang_id.pyth.512.-1,es,14,2371,1.0,1.0,1.0,1.0,19.843569
pythia-1b,natural_lang_id.pyth.512.-1,es,15,3459,1.0,1.0,1.0,1.0,14.17536
pythia-1b,natural_lang_id.pyth.512.-1,es,15,5331,1.0,1.0,1.0,1.0,15.878814
pythia-1b,natural_lang_id.pyth.512.-1,es,15,6774,1.0,1.0,1.0,1.0,28.282925
pythia-1b,natural_lang_id.pyth.512.-1,fr,1,6851,1.0,1.0,1.0,1.0,39.99007
pythia-1b,natural_lang_id.pyth.512.-1,fr,4,2097,1.0,1.0,1.0,1.0,27.43277
pythia-1b,natural_lang_id.pyth.512.-1,fr,6,2420,1.0,1.0,1.0,1.0,8.418981
pythia-1b,natural_lang_id.pyth.512.-1,fr,6,5783,1.0,1.0,1.0,1.0,16.849705
pythia-1b,natural_lang_id.pyth.512.-1,fr,7,566,1.0,1.0,1.0,1.0,21.155712
pythia-1b,natural_lang_id.pyth.512.-1,fr,9,5093,1.0,1.0,1.0,1.0,25.686451
pythia-1b,natural_lang_id.pyth.512.-1,fr,10,4307,1.0,1.0,1.0,1.0,4.7134132
pythia-1b,natural_lang_id.pyth.512.-1,fr,11,4853,1.0,1.0,1.0,1.0,28.517435
pythia-1b,natural_lang_id.pyth.512.-1,fr,12,388,1.0,1.0,1.0,1.0,20.315731
pythia-1b,natural_lang_id.pyth.512.-1,fr,12,3811,1.0,1.0,1.0,1.0,21.770731
pythia-1b,natural_lang_id.pyth.512.-1,fr,12,5405,1.0,1.0,1.0,1.0,20.679512
pythia-1b,natural_lang_id.pyth.512.-1,fr,12,5451,1.0,1.0,1.0,1.0,2.8369207
pythia-1b,natural_lang_id.pyth.512.-1,fr,13,1500,1.0,1.0,1.0,1.0,28.134457
pythia-1b,natural_lang_id.pyth.512.-1,fr,13,3562,1.0,1.0,1.0,1.0,26.616339
pythia-1b,natural_lang_id.pyth.512.-1,fr,13,4153,1.0,1.0,1.0,1.0,17.803968
pythia-1b,natural_lang_id.pyth.512.-1,fr,15,1303,1.0,1.0,1.0,1.0,17.971725
pythia-1b,natural_lang_id.pyth.512.-1,fr,15,4046,1.0,1.0,1.0,1.0,14.51498
pythia-1b,natural_lang_id.pyth.512.-1,es,13,2108,1.0,1.0,1.0,1.0,18.682571
