model,dataset,feature,layer,neuron,test_mcc,test_f1_score,coef
pythia-6.9b,wikidata_sorted_sex_or_gender.pyth.128.6000,female,1,9202,0.228,0.598,4.584
pythia-6.9b,wikidata_sorted_sex_or_gender.pyth.128.6000,female,30,9280,0.467,0.562,7.262
pythia-6.9b,wikidata_sorted_sex_or_gender.pyth.128.6000,female,0,13812,0.100,0.560,-1.763
pythia-6.9b,wikidata_sorted_sex_or_gender.pyth.128.6000,female,3,9578,0.267,0.559,-5.575
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,17,5653,0.812,0.896,22.369
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,14,205,0.710,0.861,-18.246
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,16,4634,0.677,0.847,-16.144
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,22,12688,0.679,0.846,-16.355
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,11,3979,0.656,0.838,-17.145
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,7,7006,0.646,0.830,-15.094
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,12,15841,0.641,0.830,-15.899
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,10,448,0.636,0.829,-16.190
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,9,8383,0.621,0.823,-15.474
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,20,8234,0.628,0.823,-15.385
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,19,2355,0.597,0.813,-15.159
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,23,11860,0.575,0.804,-14.353
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,18,11684,0.564,0.800,-13.334
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,25,15265,0.531,0.787,-13.542
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,30,2994,0.516,0.778,-12.611
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,24,8010,0.505,0.777,-11.176
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,26,1424,0.496,0.773,-10.966
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,8,5925,0.604,0.754,14.426
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,2,3579,0.437,0.748,8.167
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,31,4547,0.449,0.747,-9.293
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,1,7775,0.551,0.734,13.097
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,13,233,0.615,0.731,15.657
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,28,6384,0.550,0.725,11.732
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,3,3322,0.345,0.722,-6.503
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,6,13747,0.560,0.717,14.468
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,5,8668,0.470,0.693,11.654
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,21,11193,0.567,0.687,9.942
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,27,2055,0.486,0.682,10.897
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,15,13616,0.528,0.658,8.872
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,29,1458,0.437,0.649,9.319
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,0,726,0.122,0.643,-2.064
pythia-6.9b,wikidata_sorted_is_alive.pyth.128.6000,true,4,13296,0.253,0.590,5.342
